	AveExpr	Coef	t	P.value	P.value.adj	Results
AT1G74730	8.1989	-0.356974	-0.08424	0.52572337	0.81214323	0
AT1G54410	9.90841	1.868746	4.74087	5.777e-05	0.001403753	1
AT1G21130	8.86398	1.647667	2.38353	0.01437886	0.10806384	0
AT1G80380	9.03222	0.09349	0	0.86293005	0.985530308	0
AT1G36730	7.34629	-1.85758	-2.00037	0.03431619	0.188094023	0
AT1G15980	8.92512	0.115647	0	0.83012537	0.98225285	0
AT1G10960	9.71638	0.028227	0	0.95983567	0.999999999	0
AT1G65930	9.23384	-0.243544	0	0.63716369	0.890289783	0
AT1G73600	8.7992	0.5156	0.40457	0.39245856	0.708173991	0
AT1G23130	9.72878	-0.399634	-0.3217	0.37899217	0.697690133	0
AT1G76080	9.1085	0.470403	0.47014	0.33182919	0.65023148	0
AT1G55860	8.75379	-1.247877	-3.01236	0.00337137	0.037238323	-1
AT1G76100	7.91812	0.408289	0.10272	0.65710756	0.908861887	0
AT1G76180	8.0274	0.360004	0.05811	0.63209024	0.88784929	0
AT1G76160	8.21629	-1.317299	-2.22364	0.01945036	0.131972357	0
AT1G55670	11.84823	1.15145	6.08198	2.59e-06	0.000111125	1
AT1G17220	9.40328	-0.012775	0	0.98145555	0.999999999	0
AT1G07600	8.91135	1.681683	2.13693	0.02479084	0.146931103	0
AT1G70370	8.30956	-0.411946	-0.23901	0.4392278	0.744333165	0
AT1G77760	9.44281	0.278276	0	0.58136938	0.844869368	0
AT1G12800	8.48137	-0.053773	0	0.92412724	0.999999999	0
AT1G65440	8.03988	0.941404	0.6955	0.33269731	0.65023148	0
AT1G16080	8.17004	1.723745	1.48544	0.09722249	0.353529465	0
AT1G44575	11.28147	0.374712	0.32266	0.37527027	0.694345249	0
AT1G12900	11.67361	0.373237	0.39759	0.34751178	0.668432953	0
AT1G09340	10.92974	-0.390848	-0.45404	0.32732196	0.64841769	0
AT1G70760	8.51979	-0.799048	-1.45025	0.08231682	0.322011902	0
AT1G21250	8.85924	-1.511285	-4.3068	0.00016062	0.0036592	-1
AT1G48030	9.40123	-0.449294	-0.51479	0.30870336	0.635719635	0
AT1G17290	8.15219	0.106783	0	0.8684181	0.98626803	0
AT1G21310	8.11218	-0.23348	0	0.69430863	0.928066939	0
AT1G71880	7.98076	-0.485404	-0.31547	0.44496745	0.745704078	0
AT1G62750	10.35825	-0.226305	0	0.68055106	0.923876578	0
