rank	gene	score
1	TP53	0.05638835587940544
2	AKT1	0.056294818168126835
3	MYC	0.05623153723980637
4	EGFR	0.0562046765630439
5	PTEN	0.05610541041451577
6	BRCA1	0.05606858197043086
7	MTOR	0.056018334166345794
8	CDK2	0.05597927769827857
9	MAPK1	0.0559615871331734
10	GAPDH	0.0006141272951679324
11	ACTB	0.0006103123474153715
12	CTNNB1	0.0005986217744705333
13	TNF	0.0005355563113129509
14	JUN	0.0005243930875392653
15	STAT3	0.0005214971213870275
16	IL6	0.000504883102708668
17	INS	0.0005017827019105413
18	BCL2	0.0004995492633927418
19	HSP90AA1	0.0004955605598119245
20	SRC	0.000491453281186268
21	ESR1	0.0004899120915304229
22	KRAS	0.0004842479865512143
23	HIF1A	0.0004810080263686814
24	MAPK3	0.0004764968049491672
25	EP300	0.00047534313903683926
26	CCND1	0.00047387265439223486
27	CDK1	0.0004713544204221572
28	ALB	0.00047041328819754123
29	CASP3	0.0004649298737586915
30	HSP90AB1	0.00046083448274596855
31	NFKB1	0.0004593396310000082
32	ATM	0.00045484175504031596
33	GSK3B	0.0004507850669949051
34	EGF	0.00044841611115575684
35	RPS27A	0.0004482465159171723
36	H3-3B	0.0004477459773244423
37	H3C13	0.0004469209354986222
38	H3C12	0.00044641155043194196
39	HDAC1	0.00044471313162735925
40	CDKN2A	0.00044305322108412806
41	IL1B	0.00043969346103456735
42	H3-4	0.00043367834154526034
43	CDH1	0.000431530318248572
44	PARP1	0.00042702679972311586
45	MDM2	0.0004261710921032982
46	UBC	0.00042302299991707915
47	PIK3CA	0.0004196108938907001
48	HSPA4	0.00041907267229534547
49	H3-7	0.0004148040736814915
50	H3-5	0.0004132337545596605
51	PXDN	0.00041251899067408585
52	FOS	0.00041163722149468107
53	UBA52	0.0004087954482689844
54	CDKN1A	0.0004052858193406502
55	PXDNL	0.00040421451875716154
56	RHOA	0.0004007581337271086
57	CCNB1	0.00040030763265961456
58	CREB1	0.0004000273030873567
59	CREBBP	0.0003977323155891629
60	STAT1	0.00039681483752862675
61	SMAD4	0.00039421802144712825
62	SMAD3	0.00039414034589356446
63	HRAS	0.00039190828832887434
64	TGFB1	0.00039172197374383403
65	IGF1	0.00039094798056806603
66	NRAS	0.00038910686265991167
67	RELA	0.00038760768122902706
68	NOTCH1	0.0003863182860690955
69	FOXO3	0.000385398096494231
70	FOXO1	0.0003815516896527324
71	BCL2L1	0.0003784653460072394
72	EZH2	0.0003774374011253518
73	MAPK8	0.0003772610041292557
74	ERBB2	0.00037703872839963147
75	GRB2	0.00037642495590858627
76	PPARG	0.0003763860860432162
77	SMAD2	0.0003759554588704437
78	ABL1	0.0003723778341827696
79	MMP9	0.0003695794294392588
80	SOX2	0.00036827428991934995
81	AR	0.0003672250811748405
82	CALM3	0.0003664615333307749
83	FN1	0.00036559273780217583
84	SIRT1	0.00036510706818426866
85	ANXA5	0.0003624369859234065
86	BECN1	0.00036146680259920835
87	CD8A	0.00036109270811069473
88	CD4	0.000360542834269373
89	BRAF	0.0003571521576170349
90	CDKN1B	0.00035458605536653595
91	PIK3R1	0.000354470124995852
92	UBB	0.0003532473024835131
93	IFNG	0.0003524987739867235
94	NFKBIA	0.0003522392427198916
95	CASP8	0.0003519614669090508
96	CALML5	0.0003517739230929209
97	CALML3	0.0003514474275921991
98	FBXW7	0.000349623761046993
99	FGF2	0.00034899775483396934
100	MCL1	0.00034841076255497
101	TSC2	0.0003482829114640076
102	MAPK14	0.00034737542264896544
103	SNAI1	0.00034536611967129853
104	CYCS	0.0003451812799526021
105	CDK4	0.0003445585302258639
106	BRD4	0.0003434686058643481
107	CHEK1	0.00034288592284263756
108	KDR	0.0003426209894323566
109	CALML4	0.0003421708590545342
110	CALML6	0.00034173685284145743
111	CHEK2	0.0003411246204980447
112	CEBPB	0.0003398551306397819
113	KIT	0.00033891642040745015
114	JAK2	0.0003378576733139429
115	STAT5A	0.00033750043638174174
116	BRCA2	0.00033735098976957824
117	CASP9	0.00033483085079298494
118	CD44	0.00033476337753091535
119	PTGS2	0.00033212391289499005
120	CCNA1	0.00032617220894753354
121	HDAC2	0.00032603976331417416
122	E2F1	0.0003253205870609004
123	NPM1	0.0003239217067913956
124	PGR	0.00032363820797022866
125	TLR4	0.0003197558031376896
126	CXCL8	0.00031811048438185253
127	TOP2A	0.0003180584880704239
128	SKP1	0.0003177351122229515
129	SP1	0.00031679087400119705
130	SHC1	0.00031535563674393727
131	MMP2	0.0003150187656882032
132	POU5F1	0.00031463191407680264
133	CCNL2	0.00031399270454179564
134	RAD51	0.00031256602313724816
135	PTPRC	0.00031180950451753384
136	NF1	0.0003095434739000543
137	HSPA8	0.0003089323441935814
138	JAK1	0.0003088460486739277
139	CDC25C	0.00030483308984029966
140	PRKACA	0.0003042303915435073
141	PPP2CA	0.000304230235544431
142	SQSTM1	0.00030308728399765564
143	CDH2	0.00030302261452959
144	IL2	0.000302998839155669
145	TERT	0.00030299433441924333
146	PRKDC	0.00030280420639938537
147	DNMT1	0.0003026592779538759
