source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:05200,Pathways in cancer,1.37774974085982e-53,True,Pathways in cancer,527,104,67,8484,0.6442307692307693,0.127134724857685,query_1,['KEGG:00000']
GO:BP,GO:0006915,apoptotic process,1.7335522752147106e-49,True,"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",1923,107,75,21026,0.7009345794392523,0.0390015600624025,query_1,['GO:0012501']
GO:BP,GO:0012501,programmed cell death,7.359107625550201e-49,True,"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]",1987,107,75,21026,0.7009345794392523,0.0377453447408153,query_1,['GO:0008219']
GO:BP,GO:0008219,cell death,7.359107625550201e-49,True,"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]",1991,107,75,21026,0.7009345794392523,0.03766951280763436,query_1,['GO:0009987']
GO:BP,GO:0035556,intracellular signal transduction,8.053712901483636e-48,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2965,107,84,21026,0.7850467289719626,0.02833052276559865,query_1,['GO:0007165']
GO:BP,GO:0042981,regulation of apoptotic process,4.163855389738382e-46,True,"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",1462,107,66,21026,0.616822429906542,0.04514363885088919,query_1,"['GO:0006915', 'GO:0043067']"
KEGG,KEGG:05215,Prostate cancer,8.144972705364687e-46,True,Prostate cancer,97,104,37,8484,0.3557692307692308,0.38144329896907214,query_1,['KEGG:00000']
GO:BP,GO:0043067,regulation of programmed cell death,2.3439963856878596e-45,True,"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",1506,107,66,21026,0.616822429906542,0.043824701195219126,query_1,"['GO:0012501', 'GO:0050794']"
GO:BP,GO:0042127,regulation of cell population proliferation,6.757465191680619e-45,True,"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]",1685,107,68,21026,0.6355140186915887,0.040356083086053415,query_1,"['GO:0008283', 'GO:0050794']"
KEGG,KEGG:05167,Kaposi sarcoma-associated herpesvirus infection,4.498027220974242e-44,True,Kaposi sarcoma-associated herpesvirus infection,194,104,44,8484,0.4230769230769231,0.2268041237113402,query_1,['KEGG:00000']
GO:BP,GO:0008283,cell population proliferation,2.3571439971216662e-42,True,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",2015,107,70,21026,0.6542056074766355,0.034739454094292806,query_1,['GO:0009987']
GO:BP,GO:1901700,response to oxygen-containing compound,1.803116854011071e-41,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1669,107,65,21026,0.6074766355140186,0.03894547633313361,query_1,['GO:0042221']
GO:BP,GO:0009893,positive regulation of metabolic process,1.803116854011071e-41,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3597,107,84,21026,0.7850467289719626,0.02335279399499583,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048522']"
GO:BP,GO:0141124,intracellular signaling cassette,1.803116854011071e-41,True,"""An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways."" [GOC:ha, GOC:pg]",1912,107,68,21026,0.6355140186915887,0.03556485355648536,query_1,['GO:0035556']
REAC,REAC:R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,3.6418093647531463e-41,True,Diseases of signal transduction by growth factor receptors and second messengers,444,102,51,11004,0.5,0.11486486486486487,query_1,['REAC:R-HSA-1643685']
GO:BP,GO:1902531,regulation of intracellular signal transduction,6.377521607979571e-41,True,"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",1953,107,68,21026,0.6355140186915887,0.03481822836661547,query_1,"['GO:0009966', 'GO:0035556']"
GO:BP,GO:0045595,regulation of cell differentiation,1.4730969942613407e-40,True,"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]",1576,107,63,21026,0.5887850467289719,0.0399746192893401,query_1,"['GO:0030154', 'GO:0050793', 'GO:0050794']"
GO:BP,GO:0009628,response to abiotic stimulus,1.2374267941139422e-39,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1144,107,56,21026,0.5233644859813084,0.04895104895104895,query_1,['GO:0050896']
GO:BP,GO:0009719,response to endogenous stimulus,1.4195449240000574e-39,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]",1489,107,61,21026,0.5700934579439252,0.0409670920080591,query_1,['GO:0050896']
GO:BP,GO:0070887,cellular response to chemical stimulus,5.48962483660433e-39,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2192,107,69,21026,0.6448598130841121,0.031478102189781025,query_1,"['GO:0042221', 'GO:0051716']"
