source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
REAC,REAC:R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,3.6418093647531463e-41,True,Diseases of signal transduction by growth factor receptors and second messengers,444,102,51,11004,0.5,0.11486486486486487,query_1,['REAC:R-HSA-1643685']
REAC,REAC:R-HSA-1643685,Disease,3.616774978033285e-34,True,Disease,1843,102,75,11004,0.7352941176470589,0.040694519804666304,query_1,['REAC:0000000']
REAC,REAC:R-HSA-449147,Signaling by Interleukins,4.787520391763407e-32,True,Signaling by Interleukins,476,102,45,11004,0.4411764705882353,0.09453781512605042,query_1,['REAC:R-HSA-1280215']
REAC,REAC:R-HSA-162582,Signal Transduction,6.614947213290779e-32,True,Signal Transduction,2558,102,82,11004,0.803921568627451,0.03205629397967162,query_1,['REAC:0000000']
REAC,REAC:R-HSA-1280215,Cytokine Signaling in Immune system,1.1406043373206951e-30,True,Cytokine Signaling in Immune system,780,102,52,11004,0.5098039215686274,0.06666666666666667,query_1,['REAC:R-HSA-168256']
REAC,REAC:R-HSA-212436,Generic Transcription Pathway,3.5095933381874454e-30,True,Generic Transcription Pathway,1234,102,61,11004,0.5980392156862745,0.04943273905996758,query_1,['REAC:R-HSA-73857']
REAC,REAC:R-HSA-73857,RNA Polymerase II Transcription,6.277495382629564e-28,True,RNA Polymerase II Transcription,1355,102,61,11004,0.5980392156862745,0.045018450184501846,query_1,['REAC:R-HSA-74160']
REAC,REAC:R-HSA-74160,Gene expression (Transcription),3.245967492033858e-27,True,Gene expression (Transcription),1518,102,63,11004,0.6176470588235294,0.041501976284584984,query_1,['REAC:0000000']
REAC,REAC:R-HSA-1266738,Developmental Biology,1.7100777506115218e-26,True,Developmental Biology,1384,102,60,11004,0.5882352941176471,0.04335260115606936,query_1,['REAC:0000000']
REAC,REAC:R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,8.261354532392674e-25,True,Interleukin-4 and Interleukin-13 signaling,111,102,24,11004,0.23529411764705882,0.21621621621621623,query_1,['REAC:R-HSA-449147']
REAC,REAC:R-HSA-1257604,PIP3 activates AKT signaling,8.508583366860855e-25,True,PIP3 activates AKT signaling,252,102,31,11004,0.30392156862745096,0.12301587301587301,query_1,['REAC:R-HSA-9006925']
REAC,REAC:R-HSA-2262752,Cellular responses to stress,5.276409480779095e-24,True,Cellular responses to stress,796,102,46,11004,0.45098039215686275,0.05778894472361809,query_1,['REAC:R-HSA-8953897']
REAC,REAC:R-HSA-8953897,Cellular responses to stimuli,1.0313320074632393e-23,True,Cellular responses to stimuli,810,102,46,11004,0.45098039215686275,0.056790123456790124,query_1,['REAC:0000000']
REAC,REAC:R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,6.3601326196137e-23,True,Signaling by Receptor Tyrosine Kinases,516,102,38,11004,0.37254901960784315,0.07364341085271318,query_1,['REAC:R-HSA-162582']
REAC,REAC:R-HSA-9006925,Intracellular signaling by second messengers,6.3601326196137e-23,True,Intracellular signaling by second messengers,292,102,31,11004,0.30392156862745096,0.10616438356164383,query_1,['REAC:R-HSA-162582']
REAC,REAC:R-HSA-2559583,Cellular Senescence,6.414885625585858e-23,True,Cellular Senescence,194,102,27,11004,0.2647058823529412,0.13917525773195877,query_1,['REAC:R-HSA-2262752']
REAC,REAC:R-HSA-8939211,ESR-mediated signaling,1.0210040177611296e-21,True,ESR-mediated signaling,215,102,27,11004,0.2647058823529412,0.12558139534883722,query_1,['REAC:R-HSA-9006931']
REAC,REAC:R-HSA-168256,Immune System,1.7165765943490013e-21,True,Immune System,2085,102,65,11004,0.6372549019607843,0.03117505995203837,query_1,['REAC:0000000']
REAC,REAC:R-HSA-9725370,Signaling by ALK fusions and activated point mutants,4.517189185824323e-21,True,Signaling by ALK fusions and activated point mutants,89,102,20,11004,0.19607843137254902,0.2247191011235955,query_1,['REAC:R-HSA-9700206']
REAC,REAC:R-HSA-9700206,Signaling by ALK in cancer,4.517189185824323e-21,True,Signaling by ALK in cancer,89,102,20,11004,0.19607843137254902,0.2247191011235955,query_1,['REAC:R-HSA-5663202']
REAC,REAC:R-HSA-8848021,Signaling by PTK6,4.517189185824323e-21,True,Signaling by PTK6,51,102,17,11004,0.16666666666666666,0.3333333333333333,query_1,['REAC:R-HSA-9006927']
REAC,REAC:R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,4.517189185824323e-21,True,Signaling by Non-Receptor Tyrosine Kinases,51,102,17,11004,0.16666666666666666,0.3333333333333333,query_1,['REAC:R-HSA-162582']
REAC,REAC:R-HSA-8878159,Transcriptional regulation by RUNX3,1.6793857128846218e-20,True,Transcriptional regulation by RUNX3,95,102,20,11004,0.19607843137254902,0.21052631578947367,query_1,['REAC:R-HSA-212436']
